Portfolio,Product,Acquisition,Usage/Balance,Retention,Service,Contractual,Compliance,Additional Card Holder ,Activation,Amex Opt-in,Balance Transfer,CLI,CLI Opt-in,Onboarding,Redemption,Top-up,Upgrade,Cost Saving
Home Loan,Home Loan,6147.700696,1476.992105,1229.540139,,,0,na,na,na,na,na,na,,na,,na,
Credit Cards,Blended,903.6169968,316.2659489,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,Diamond Awards,1449,507.15,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,Platinum Awards,686,240.1,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,Standard Awards,223,78.05,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,Low Fee,383,134.05,CCLT deprioritised,,,0,,,na,,,,,na,na,,
Credit Cards,Low Rate,724,253.4,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,Gold Awards,296,103.6,CCLT deprioritised,,,0,,,,,,,,,na,,
Credit Cards,PLBCC,,,,,,,,,,,,,,,na,,
Personal Loans,Personal Loan,1473.240041,123.4718243,294.6480083,,,0,na,na,na,na,na,na,na,na,,na,
Personal Overdrafts,Personal Overdraft,113.9168796,22.78337592,29.00419541,,,0,na,na,na,na,,na,,na,na,na,
Deposit and Transactions,Savings,224.6272869,82.00436136,58.52240589,,,0,na,,na,na,na,na,,na,na,na,
Deposit and Transactions,Transaction,540.581337,178.8685408,90.81581907,,,0,na,,na,na,na,na,,na,na,na,
Deposit and Transactions,Term Deposit,317.298025,43.21094583,168.2483798,,,0,na,na,na,na,na,na,,na,na,na,
Deposit and Transactions,Business Savings,2410.642641,614.927224,729.2198832,,,0,na,,na,na,na,na,,na,na,na,
Deposit and Transactions,Business Transaction Account (BTA),2735.19537,53.21143743,782.3434392,,,0,na,,na,na,na,na,,na,na,na,
Superannuation,Essential Super,tbc,tbc,tbc,,,0,na,na,na,na,na,na,,na,na,na,
Wealth,My Wealth,tbc,tbc,tbc,,,0,na,na,na,na,na,na,,na,na,na,
Insurance,Home and Contents Insurance,565.8696586,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Home Insurance,tbc,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Contents Insurance,tbc,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Car Insurance,343.8125824,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Life Protection,tbc,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Income Protection,tbc,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Loan Protection (Home),1180.651587,na,tbc,,,0,na,na,na,na,na,na,na,na,na,na,
Insurance,Credit Card Plus,373.0057241,na,tbc,,,,na,na,na,na,na,na,na,na,na,na,
CommSec,Trading Account,473,tbc,tbc,,,0,na,na,na,na,na,na,,na,na,na,
Financial Planning,Financial Planning,5329,tbc,tbc,,,0,na,na,na,na,na,na,,na,na,na,
Forex,Travel Money,104.0788151,35.85935068,,,,0,na,na,na,na,na,na,,na,na,na,
Forex,International Money Transfers,176.6658395,na,na,,,0,na,na,na,na,na,na,,na,na,na,
Business,Merchant Facilities,,,,,,,na,na,na,na,na,na,,na,na,na,
Business,Business Loan,,,,,,,na,na,na,na,na,na,,na,,na,
Business,Business Overdraft,,,,,,,na,,na,na,,,,na,,na,na
Online,Pay Tag,,,,,,,na,na,na,na,na,na,,na,na,na,na
Online,Brand and Apps,,,,,,,na,na,na,na,na,na,,na,na,na,na
